地区,店舗名,リンク,最寄り駅,距離,予算,席数,個室,キーワード,コメント数,コメント
新宿,カラオケ パセラ 新宿本店           ,https://www.hotpepper.jp/strJ000011480/,［新宿駅,5,0,400,あり,★オリコン日本顧客満足度調査第1位★,19,彼女の誕生日で利用しました。 同じパセラ系列のカラオケ店とカスケードの予約を取り間違えてしまっていたのですが、事情を説明すると快く対応してくれました。料理の質もよく、何よりお店のスタッフさんが皆さん笑顔で彼女もとても満足してくれ…つづきを読む お料理がおいしかったです 友人とカラオケをしにお伺いしたところ、店頭にディスプレイされたハニートーストを発見し、さっそく注文しました！半斤の食パンに切り込みが入り、そこへはちみつがたっぷり染み込んでいてしっかりとした甘さでし…つづきを読む サプライズパーティー大成功！？ 某アーティストファン仲間内でアニバーサリープランを利用させて頂きました。大画面＆大音量で迫力満点のライブ映像上映を楽しめました！店内の内装や設備のクオリティ、アメニティの充実、食べ物や飲み物も他…つづきを読む 上質なサービスに感動 パセラリゾーツは何度か利用した事がありますが、ドリンクの出てくるスピードや、アメニティの充実さ、フードやドリンクの種類の多さに感動します。お値段は少々張りますが、また行きたいと思えるカラオケ店です。 友人のバースデーで利用させていただきました！ 仲良しの友人のバースデーで利用させていただきました！女子会コースで予約しました。友人へのプレゼントを預けたくて待ち合わせの少し前に他の友人とお店に行ったらまだ開店1時間ほど前で、どうしようと困って…つづきを読む 驚きだらけで思わず投稿！ 1月の週末、利用させて頂きました。二次会のカラオケを探して色々探しましたが、私も友人もなかなか新宿に行くことが無いので、ひたすら色々な場所を調べていました。朝まで飲み放題を考えていたので料…つづきを読む 楽しませて頂きました♪ 今日は会社の同僚と仕事帰りにいきました。お店は知っていましたが訪れたのは初めて。店内は緑もありリゾート感たっぷり。とてもキレイで化粧室も心地よく利用できました。飲み放題のメニューも充実し…つづきを読む 会社の送別会で利用 会社の上司の送別会で利用しました。先輩の送別会の幹事という事で心配ばかりでしたが・・・まったく問題なく（むしろ大満足）で楽しませてもらいました！！料理も美味しいし店員さんも明るく非常に気持ちよい…つづきを読む 2015年03月頃夕食の時間帯に行きました 先日こちらで食事をさせて頂きました。外観も良く、料理もおいしく素敵なお店でした。また機会があれば使用させて頂きます きれいなお店でデートにもオススメ 女性にもおすすめできるきれいな環境でお店の人も親切でした。また行きたいです。デートにもおすすめです。 2015年01月頃に行きました 友達の誕生日で利用しました！ポイントがたまるとVIPルームが通常料金で使えるのが嬉しいです！ご飯もおいしくまったりできサービスもいいのでよく利用しています☆ 2015年1月頃に行きました お友達たち4人でDVD鑑賞会をしました。ハニトー食べていっぱいおしゃべりしてとても楽しかったです。お化粧室などサービスが行き届いていて感激しました。 2014年06月頃夕食の時間帯に行きました お通しが選べるのですが、どれもおいしそうで迷ってしまう。お店の人も対応が良く、楽しい時間が過ごせた。ハニトーオススメ！ 気品が良い 環境が良くて非常に居心地が良かったのが魅力でした。気品も豊かでしたし、美味しいお店で上質な料理なのが良いです。 料理もレストラン並 カラオケ店ぽくない豪華なルームで料理もレストランみたいな感じで美味しかったです。また行ってみたいと思いました。 ハニトー！！ やっぱりハニトーですよね！必ず注文します！新メニューもちょこちょこ出るので飽きないです！お通しも、3つの中から選べるって所が良いです！しかも、どれも美味しそうなおしゃれなお通しです。温かい紅茶を…つづきを読む 特別な時間を共有するなら パセラさんに無理を言って色々なサプライズをしていただきました幹事さんはとにかく、相談してみる価値ありです今回はバイキング形式でしたが、色々頼んでみんなでワイワイするのもいいもんです騒ぐなら…パ…つづきを読む いつも満足します☆ カラオケに行きたい時はいつもパセラを利用します！　料理もおいしいし、部屋はすごいきれいだし、なんと言ってもスタッフのみなさんの元気の良さにはびっくりします☆　パセラといえばハニートーストですが、やっぱ…つづきを読む カラオケ屋さんとは思えない！ お店に入ると、そこは南国？バリを思わせるような素敵な空間。ここ、ホントにカラオケ屋さん！？っと思わせるような店内です。ROOMの内装も凝っていて、落ち着いた室内に壁のオブジェもバリ風で･･…つづきを読む
新宿,中国呑みくい処 満月廬 新宿店,https://www.hotpepper.jp/strJ000002178/,JR新宿駅,5,4900,250,あり,全国3位！東京都でNo.1のTVで話題の小籠包,8,小龍包が美味しい ここは、肉汁たっぷりの肉まんが美味しいんですが、小龍包も負けないぐらい美味しい。外側は、とってももっちりしていて、噛んだ瞬間中から旨いスープがじゅわーと出てきます。お勧めですね！ 安くて美味しくて、通いたくなるお店。 コラーゲンを取らねば！(笑)ということで、フカヒレ目当てに女の子3人で行って来ました。メニューがたくさんで迷いましたが、とりあえず5品+飲み物をオーダー。野菜料理も多く、女の子には嬉しいセレク…つづきを読む 会社の忘年会で。。 先日、会社の忘年会で使わせていただきました。ここはっきり言います。安いです。お得です。新宿三丁目駅からも近いです。この値段でこのコース。本当にお買い得です。お店の方の対応もすばらしいです。…つづきを読む ライスのお替わり自由で、おなかいっぱい食べました♪ 本日のお昼ご飯に、新宿三丁目の、『個室中華ダイニング　満月廬』さんに行きました。頂きましたのは、人気の、唐揚の黒胡椒風味 豚レバーと野菜のスタミナ味噌炒め。スープ＋サラダ＋お新香＋…つづきを読む ボリュームランチとジャズでお腹一杯 新宿の秋が盛り上がるトラッドジャズ祭りに出かけて、２会場を廻ってから、次に備える為に休憩を兼ねて昼食を摂って来ました。このお店の地下には演奏会場もあってその音が１回までもれて聞こえます。…つづきを読む 気兼ねなく盛り上がれる場所 同じ音楽が好きな仲間２０人ぐらいで行きました。飲み放題付きの限定コース\３７００を予約。部屋は３階で、ドア（障子？）を閉めれば完全個室になるような感じでした。実際は、廊下に面した側は開けっ…つづきを読む 70人近くで宴会しました☆ ちょっと前になるんですが、学校の同窓会で利用させていただきました！当日来る人数を聞いて、新宿で70人近くまとまって宴会が出来るところなんてあるのかなと疑問に感じながら向かうと、ありました！！地下に…つづきを読む カジュアル中華のお店 歩き回っていてお腹が空いたので、ランチの看板にひかれて中華へ。エビチリのランチセットにしたらあまり待たずにドンっと出てきました。あまり辛くないエビチリに玉子スープとザーサイ、サラダ、それと豚肉…つづきを読む
新宿,新宿 丸港水産 新宿本店,https://www.hotpepper.jp/strJ000705475/,地下鉄各線新宿三丁目駅,1,3000,168,あり,新宿 居酒屋 宴会 貸切 大人数 忘年会 海鮮,5,満足しました 入り口からしていい雰囲気。店内の壁には大漁旗などが飾ってあったりして活気があります。蟹・ホタテ・サザエなど北海道の新鮮な食材に満足しました。美味しかった！ 飾らず仲間と大いに語ろうー 新宿三丁目のちょっと奥には入ったらすぐ分かります。だって活気あり、待ち人ありなんで・・・。魚介の浜焼きのお店で、店内はレトロで賑やかな感じ！料理は文句なくおいしい。ただ、店内がやがやし…つづきを読む 活帆立殻焼きを七輪で・・・ふらっと入って大当たり♪ 新宿3丁目ユニクロ裏あたりが熱いことはうすうす気がついていた。飲み屋がところ狭しと立ち並ぶ。のんべい心に火がついた。こちらはどんと目立つところにあるので目を引いた。勘で入る…つづきを読む ホタテ…やばいっす。 こんなにおおぶりでジューシーなホタテが、よもや新宿で食べられるとは思いませんでした。しかもこんなに安いとは…。この界隈、立ち呑み屋とか多いんだけどやっぱり座りたいし、狭い！しかも肉じゃなくて美…つづきを読む 七輪浜焼き 新宿三丁目で発見しました。魚介の浜焼きのお店です。店内は、流行のレトロで賑やかな感じです。以前にレポートした恵比寿にある浜焼きのレトロ漁師居酒屋に似ています。価…つづきを読む
新宿,ハレバレPECORI 新宿店,https://www.hotpepper.jp/strJ000989396/,新宿駅,7,3000,72,あり,新宿 ローストビーフ クレイジーシェイク,9,感謝しかないです 送別会で利用しました、サプライズのデザートをオーダーしてましたが、雰囲気や接客態度、気遣いまで本当に最高でした。本人もとても喜んでくれて最高の思い出にできました！本当にありがとうございました、また機会…つづきを読む サプライズパーティーのスペシャルサポーター☆ 留学する友達のサプライズ送別会＆プチ同窓会で使わせていただきました！その3日前にも打ち合わせを兼ねて伺ったのですが、その時の対応も丁寧で嬉しかったです！金曜日の、一番忙しい時間帯であり、他のお客…つづきを読む 誕生日や記念日に！ 記念日コースで予約しました。サプライズがとにかくすごい！！バースデーソングとクラッカーとケーキプレートと写真＼(^o^)／お土産にワインまで頂いちゃいました！しかもラベルに写真入りΣ(￣□￣)…つづきを読む 女子会や誕生日におすすめです！ 少しアラビアンな内装でランプなどもありとても雰囲気がよいです！それぞれ別の機会に２度訪れましたが、食べ物もコラーゲン鍋など女子会にぴったりのメニューで、また誕生日のうさぎといぬのケーキもとても可…つづきを読む お通しがベーコン！しかも食べ放題！ 女子会での利用を宣伝しているこちらのお店ですが、普通に男性も満足できると思います！なにより、まずお通しがベーコン！そしてこのベーコンが食べ放題！お通しがおいしくなかったり、値段に納得できなかったり…つづきを読む スムーズ スムーズに電話予約から入店する事ができます。店員の接客も完璧、料理も絶品と文句無しのお店だったので良かったです。 友だちの誕生日 ２名からでも、コース＋飲み放題が頼めてよかったです！女子会コースの大きなパフェが想像以上でした！誕生日のサプライズの演出に私も友達もびっくりしました！とても喜んでもらえて素敵な一日になりました(*^o…つづきを読む 夜カフェ女子会★ 友達と二人で行きました。予約していませんでしたがカウンターが空いていて良かった♪クーポンにある夜カフェ女子会コース（アルコールなし）で頼みました。ドリンクの注文によく来てくれたり気持ち…つづきを読む 友達に教えたくなる素敵なお店☆ いやぁ~…新宿になかなかないです、こんなにいいお店!!!男友達にいいお店があると連れて行ってもらって知りました。お店の雰囲気、店員さんのサービス、お酒、なにもかも最高です！飲み放題は安いのにカ…つづきを読む
新宿,居酒屋かあさん 新宿南口店,https://www.hotpepper.jp/strJ000010797/,JR山手線新宿駅,3,3500,37,なし,全国の焼酎・地酒・隠し酒と大皿料理,1,味わい深い 過ごしやすく、ゆっくりとした店内はかなり大人の雰囲気を感じました。料理もとても味わい深くて良かったです。
新宿,個室ダイニング カスケード新宿本店,https://www.hotpepper.jp/strJ000746645/,［新宿駅,5,5000,88,あり,◆カラオケパセラ・フーズフーズの系列店◆,15,友達の誕生日サプライズに！ 数量限定の女子会コースでお願いしたのですが、ハニトーにメッセージと花火がついていたり、BGMと照明で演出して下さったり、主役がとても喜んでくれました。店員さんもとてもフレンドリーで楽しい3時間でした…つづきを読む 友達の婚約祝いで利用 7人で予約しましたが、当日急遽二人増え変更の連絡をしました。店長さん、女性スタッフさんの対応がとても感じが良くこちらの都合なのに快く受けてくださいました他のスタッフやサービスも良く次回の予約をしてし…つづきを読む 先日友人の結婚祝いと誕生日祝いで利用しました。 予約の時点でサプライズでお祝いしたいことを伝えたら、前日予約であったにも関わらず親切に対応して下さいました。パセラ系列のお店は数回利用したことがありますがカラオケのイメージとは違ってオシャレで雰囲気…つづきを読む えっ!?こんなに豪華な生ハムが・・・ 2016年2月に友人とふらっといきました。入り口はちょーっと敷居が高い雰囲気がありますが店員さんがかなりフレンドリーで緊張がほぐれました!!飲み放題コースを頼みましたがスタンダードなドリ…つづきを読む 2015年12月頃夕食の時間帯に行きました 合コンの場所として選択しました。料理も美味しく、雰囲気も良かったです。また、マジシャンの方が盛り上げてくださり、とても楽しい時間を過ごせました！ 気持ちの良い店 いつも利用させて頂いております。細かい所までサービスが行き届いていると思います。店員さん達の接客も素晴らしいと思います。料理も美味しいし、安いし、バリ風で雰囲気も良い。少人数～大人数ま…つづきを読む 素晴らしい接客 彼女の誕生日で利用させていただきました。数日前に誕生日で利用させていただきたいという旨で電話をしました。誕生日用のハニトーと席を予約させていただき、その後、お店の方から他にもお手伝いできることはあ…つづきを読む 会社の同僚と一緒に。。。 仕事帰りに同僚の女性2名に誘われて行きました♪系列店のパセラには何回か行った事がありますが・・・このお店に入ったのは初めて！！階段を降りると・・・滝が流れていて、昔バリ旅行に行った際に訪れた…つづきを読む 気配りが行き届いていました。 久々の友人と再会するため、女子会コースを利用しました。とにかく、心配りが素晴らしかったです。サプライズ的なサービスもありましたし、お手洗いもアメニティが充実していました。また利用したいと思え…つづきを読む 内装はゴージャスな感じ 内装はゴージャスな感じで、店員さんの接客も丁寧で良かったです。エスニックテイストの料理は可愛らしい盛り付けで、特に女性人気が高いお店です。 大人数の女子会はカスケードでワイワイ 金曜日の夜に８時から７人女子会で利用しました。場所が歌舞伎町という事もあり、不安もありましたが、、ミスドをめざすと直ぐに分かりました。そんなに怪しい場所になくて安心！笑パセラ系を利用するのは初…つづきを読む デートで☆ 二人でコース&飲み放題で約10000.お料理大満足しました(*^^*)個室、とありますが正式にはカーテンでしきったソファ席にかんじましたが、新宿でこんなゆったりした席に座れるのは素敵だと思いました！…つづきを読む 最高の誕生日になりました。 私が行ったのはつい最近でした。飛び込みだったのに席空けてくれてよかったです♪リゾート感満点で雰囲気がとてもよかったです！しかも接客態度がはんぱなくよくてびっくりしました。サプライ…つづきを読む 女子会に最適！ 女友達7人で利用させていただきました！年末ということで予約が多かったのか2時間制でしたが、VIPなソファー個室に案内していただけたのでゆったり過ごせました。料理は多少味付けが濃い気がしましたが、サ…つづきを読む 二人だけの空間を創出 女の子の親友と行きました。店は新宿区役所のすぐ近くです。この店が入ってるビルは全部この店の系列らしく、二次会もここで出来そうな感じでした。今回は個室を使いました。ここの店の個室はＬ字ソファーでク…つづきを読む
新宿,美々卯 新宿店,https://www.hotpepper.jp/strJ000243038/,JR新宿駅,2,7000,144,なし,創業200年の老舗,7,優雅なランチ 友人と二人で新宿で落ち着いた店でゆっくりランチできる店を探していて見つけました。ゆったりした雰囲気で、店内も広くて、年齢層高めで、優雅にランチを楽しめました。関西風のお出汁で、お値段もそれほど高くなく…つづきを読む 美味しくて安いです。 手頃なのに、美味しい和食料理屋さんが、新宿に？！高級店と変わらぬ美味しさですが、安いです！2000円あれば、美味しい定食が食べれます。美味しいですよ～！すきやき、冬には牡蠣うどん。とにかく美…つづきを読む 美味しいです！ 本格的な、和食料理が味わえます。とても美味しい＼(^o^)／そこらへんの和食レストランよりも美味しい。少し高級感が味わえます！すき焼きなどもあります。定食もある。冬の牡蠣うどんのだしが…つづきを読む うどんすき うどんすきというお料理を初めて知ったのがこの美々卯です。とても落ち着いた店内で接待などにも重宝しそうなお店。もちろんサービスも行き届いています。ランチはお昼のうどんすきが2500円。三種盛合わ…つづきを読む うどんすき 大好きなうどんすきを食べに行きました。えびの調理方法を聞いてくれます。生きたままだと新鮮すぎて飛び跳ねるので注意です。ゆっくり食べることができます。お鍋も、はじめは店員さんが作ってくれるので安心です。 ダシが決め手！！ 寒い日だったので暖かいものが頂きたくなってこちらへみみうといえば　うどんすき♪出汁が良く出ていてホントウに美味しいです☆その他の和のメニューも充実のラインナップお造りの出し方もすごく綺…つづきを読む 落ち着いて鍋料理が楽しめるお店 大阪に本店がある、和食のお店です。うどんすきとしゃぶしゃぶを食べたことありますが、どちらも美味しく落ち着いた雰囲気で料理を楽しめます。うどんすきは肉、海の幸、野菜とバランス良く入っており、…つづきを読む
新宿,響 新宿NOWAビル店,https://www.hotpepper.jp/strJ000613030/,JR新宿駅,1,5000,182,あり,新宿 新宿東口 和食個室 接待 宴会 送別会,12,美味しくお手頃ランチ ランチは、おかずがビュッフェ形式で取り放題なのに、お値段がとてもお手頃なので利用しやすいです。お料理も美味しくて、簡単なデザートもついてくるので、本当にお得に利用できるお店だと思います！ 2014年10月頃ランチの時間帯に行きました ここのお店はいいですよ（＾ｖ＾）ｖ何が良いかと言うと、まずは、メイン料理があって、なおかつ、オプションメニューがバイキング形式で揃ってる。もちろん飲み物もフリー♪・・・なんか得した気分になれます（＾…つづきを読む 料理人の技が光る料理 ランチで利用させてもらいました。惣菜ビュッフェとドリンクバーが付いて野菜のお惣菜が様々あってとってもうれしいです。野菜かき揚げやサラダやひじきに茶碗蒸しなどとても美味しくヘルシーでした。雰囲気も…つづきを読む 景色が素晴らしい 店内は若干暗めで夜景も綺麗で雰囲気がよかったです。お料理は和食がメインで色々と楽しめました。雰囲気も接客も良いのでまた行きたいと思います。 和食ランチなら。。。 ついついいつもここにしちゃいます。だって、ランチならデザートを含む11種のお惣菜バイキングが付いてくるんだもん。（食後のコーヒー付）好きなお惣菜は何度でも取れるし、好きなだけ食べることができます…つづきを読む スタッフに感動 先日デートの際に使わせてもらいました。５組限定の燦のコースが取れたので、それを前日に予約していました。土曜日に行ったせいかかなり混み合っていて、本当は窓側の夜景が見える席にしてほしかったのが敢…つづきを読む 夜景も食事もひとつ上の贅沢～(ノ∀`)・゜・。 2軒目で利用しました見るからにちょっとお高そうなお店構えでしたが、2軒目だったし、夜景がとてもキレイだろうなーということで、ドキドキで入店|∀゜)夜景が思いっきり見れる、窓側のテーブルで…つづきを読む とっても素敵なお店でした☆ 料理・お酒ともにバリエーション豊富で、どれも美味しい。今回は接待で利用。もちろん、相手の方にも満足していただけました。店内は落ち着いていて、雰囲気もいいです。接待で仕事のお話もいいですが、デー…つづきを読む 本当に美味しいものを食べたいときに！ 何度か行ってますが、とにかく食材にこだわっているお店だと思います。店内の雰囲気もすごく良いのですが、それ以上に料理(お通しも）がしっかりとしています。個人的には、ウイスキーの響を安く飲めるのも…つづきを読む 日曜なら予約なしでOK 日曜日に男性と2人で行きました。席はかなり余裕がある感じでしたが、平日は予約なしでは入れないときがあります。こしひかりのご飯はふっくらモチモチ、ご飯の友には盛り合わせ（3つ選べる）をチョイス。…つづきを読む 押さえておきたいお店 今日は元の職場の同僚たちと新年会でした。駅近で落ち着いた雰囲気のお店でって思いついたのが「響」だった。コースにしたら、新鮮な野菜や旬の魚がきれいに盛られてました。寒ブリの蒸したのが美味しかった。…つづきを読む 予約は早目が◎ 駅からすごく近くて落ち着いた大人の雰囲気のお店がとても気に入っています。デートでも友達とでも落ち着いて飲みたい時に伺います。２次会なんかでも駅から近いので駅までの時間を考えずに飲めるのでオスス…つづきを読む
新宿,スーパードライ 新宿店,https://www.hotpepper.jp/strJ000011195/,ＪＲ新宿駅,1,3800,144,なし,【新宿】古き良き活気溢れる本格ビアホール,7,色んな国なビール！ 色んな国のビールも飲めて、ビール好きにはオススメです。おつまみも種類がけっこうあります。ソーセージの盛り合わせやジャーマンポテトを食べてる方が多いかな。お店の名前にもなってる通りスーパードライ…つづきを読む ソーセージうま～ 忘年会で同僚と5人で伺いました。お店はちょっと高級感がありますが、出てくる料理、ドリンクともにとても満足できます。ドリンクはやはりアサヒスーパードライ！店員さんも丁寧な接客で、とても気持ちよく時…つづきを読む ビールがすすむ 新宿駅からすぐの場所にお店があります。アサヒビールのアサヒスーパードライを店名にしたお店です。店内はおしゃれでいい雰囲気があります。生ビールはメーカー直営店の安定感があり、美味しく注いでいる印象…つづきを読む 暑い夏 あつーい夏に美味しいビールが飲みたい！特に大好きなアサヒビール。本当に美味しいビールが味わえるお店だと思います。キンキンに冷えたビールののど越しは最高で、缶ビールでは絶対に味わえない・他店でも味わえな…つづきを読む 昼からビール 知人と新宿散策中、休憩しに入った店。店は広く、テーブル席多め。昼過ぎからビール好きが募っていて1個1個カルトでは少し値が張りますがビールの入れ方は安定してる気がします。 これぞスーパードライ 旨いビールが飲みたくてビール好きな友人といってきました。注ぎたてのスーパードライは暑い日に今日みたいな最高！料理も魚系のものとソーセージなどのドイツ系があり、どれも旨かったです。友人は黒ビール…つづきを読む 喉にカーーーーーーーっとくるスーパードライは最高でしょ★ ここに来るまでは、正直ビールの味の違いがわからなかったので好きなラベルのビールをいろいろ変えて飲んでました。ビールが大好きな友人が「スーパードライの味を知らないなんて！」とここに連れてこられた…つづきを読む
新宿,西新宿個室居酒屋 柚柚 ～yuyu～ 西新宿,https://www.hotpepper.jp/strJ000739621/,[JR・各線新宿駅,3,3500,135,あり,[西新宿個室居酒屋]飲み放題充実!100名まで,10,料理が美味しい！ 大人数での予約だったので、ちょっと荷物置き場など含めて狭いように感じたのと、テーブルの位置的に、グループごとになってしまい、他の人の顔が見えなくなる。こじんまりしてて距離は縮まると思う！賛否両論ある…つづきを読む 35年ぶりに会う友人たちと ゆっくりと話したかったので、個室で三時間飲み放題のコースをお願いしました。完全個室で他を気にせず昔話ができました。お酒の種類もとても多く、梅酒もいろいろあり女性にもオススメです。料理は食べきれないほ…つづきを読む 忘年会に使用させていただきました。 柚庵コース(飲み放題有り)を利用させていただきました。まず一番良かったと思ったのが、飲み放題なのに注文してからの対応がすごく早いということでした。(この値段帯のお店だと、注文してもなかな…つづきを読む 2015年06月頃夕食の時間帯に行きました 個室で綺麗でした。店員の対応も良かったのです。飲み放題プランでしたが、飲み干さないと注文出来ない仕組みでした。料理もオシャレで良かった。 おすすめのお店。 すごく落ち着いた雰囲気のお店です。お値段も安いですし、店員さんもすごく親切で好感が持てますね。また来たいです。 くつろげます。 掘りごたつの個室なので足が楽です。個室なので周りを気にせず騒ぐことができます。料理もおいしくリーズナブルでうれしいです。店員さんの対応も丁寧でよかったです。くつろげます。 駅チカリーズナブル 店内の雰囲気も落ち着いていて過ごしやすかったです。駅からもアクセスしやすくて良いですね。お料理もお酒も充実していました。 のんびり過ごせる 個室だったので周りを気にせずゆっくり過ごすことができました。店員さんの対応も良く料理も美味しかったのでまた行きたいです。 可愛いお店☆ 店名の通り、至る所にサクラを感じるお店♪廊下の壁にサクラが飾ってあるかと思えば、お部屋の壁も、食器もサクラ柄！ちょっぴり可愛い感じなので、女子はテンション上がるかも♪春を感じたい男子にもお勧…つづきを読む 居心地の良さが素晴らしい 大学生５名、席だけ予約で利用しました。まったりだらだらとおしゃべりしたい、との要望があったので、完全個室を謳っているこちらのお店に決めました。いうだけあって、他のお客のシルエットも見ることない…つづきを読む
